tax_level,name,domain,Z_score,nt_rpm,nt_contigs,nt_alignment_length,nr_rpm,nr_contigs,known_pathogen
1,Prevotella copri,bacteria,100,258275.04383545998,4069,2315.71,302774.63225626934,7252,0
1,Prevotella dentalis,bacteria,100,4441.684857869054,47,786.202,40.713255645754195,2,0
1,Prevotella scopos,bacteria,100,2819.392953468478,22,595.996,47.27990978216616,6,0
1,Prevotella denticola,bacteria,100,2541.951816205072,41,658.136,46.95157707534556,2,0
1,Prevotella intermedia,bacteria,100,2168.3091958432315,43,772.881,108.02146054397686,9,1
1,Prevotella stercorea,bacteria,100,11.491644738720941,1,661.0,1989.0395379191848,77,0
1,Prevotella ruminicola,bacteria,100,1140.299490787938,35,789.457,460.9791203761201,23,0
1,Prevotella melaninogenica,bacteria,100,933.449885490961,38,252.049,255.4428459064255,6,1
1,Prevotella oris,bacteria,100,923.9282369931638,14,118.11,51.876567677654535,5,0
1,uncultured Prevotella sp.,bacteria,100,122.13976693726258,7,270.03,780.4468441125623,2,0
1,Streptococcus salivarius,bacteria,100,81491.84950016568,3008,590.153,64156.210912744915,2698,0
1,Streptococcus parasanguinis,bacteria,100,4457.116495089623,243,152.128,7590.395516278592,544,0
1,Streptococcus thermophilus,bacteria,100,2983.2309741719564,84,543.477,5285.171581691171,156,0
1,Streptococcus sp. FDAARGOS_192,bacteria,100,6607.0390593509,298,512.396,218.6695827425185,12,0
1,Streptococcus sp. LPB0220,bacteria,100,4941.7355703568255,374,198.84,51.21990226401334,4,0
1,Streptococcus pasteurianus,bacteria,100,2611.88668275786,245,154.587,700.9903290619775,84,0
1,Streptococcus equinus,bacteria,100,1809.7698799951381,62,477.732,662.903735070788,38,1
1,Streptococcus vestibularis,bacteria,100,643.2037726615522,27,200.781,1772.996616831231,77,0
1,Streptococcus gallolyticus,bacteria,100,707.8853159052101,18,106.375,1185.6094043291805,93,0
1,Streptococcus pneumoniae,bacteria,100,246.24953011544875,3,130.786,1581.9069814616428,49,1
1,Streptococcus mitis,bacteria,100,662.5754023639674,15,482.329,511.2140245196716,12,1
1,Streptococcus oralis,bacteria,100,450.47247375786094,6,493.56,678.3353722913562,20,1
1,Streptococcus gordonii,bacteria,100,625.8021392000604,24,632.648,297.4694323794621,11,1
1,Streptococcus agalactiae,bacteria,100,358.2109831412728,6,466.655,333.9143628365485,13,1
1,Streptococcus australis,bacteria,100,472.1424324080204,24,321.668,131.66141543505992,9,0
1,Streptococcus suis,bacteria,100,140.1980658123955,6,151.631,414.3558760075951,20,1
1,Streptococcus sanguinis,bacteria,100,185.50797935363806,8,227.547,324.72104704557177,15,1
1,Streptococcus cristatus,bacteria,100,111.63312031900344,7,287.101,257.7411748541697,13,0
1,Streptococcus anginosus,bacteria,100,225.89290229257165,6,366.494,122.46809964408318,3,1
1,Streptococcus mutans,bacteria,100,113.93144926674762,1,106.898,187.47797559456166,3,1
1,Streptococcus lutetiensis,bacteria,100,188.46297371502345,15,140.315,95.21648497797352,6,0
1,Streptococcus sp. A12,bacteria,100,187.80630830138224,13,152.123,24.29662030472428,2,0
1,Streptococcus intermedius,bacteria,100,76.17318798237882,3,265.601,97.5148139257177,4,0
1,Streptococcus equi,bacteria,100,25.28161842518607,1,152.765,146.43638724198686,3,1
1,Streptococcus sp. I-G2,bacteria,100,96.85814851207651,3,156.481,60.4132180549901,2,0
1,Streptococcus macedonicus,bacteria,100,74.85985715509642,3,458.021,70.59153196642865,3,0
1,Streptococcus acidominimus,bacteria,100,52.20490038447514,1,690.395,47.60824248898676,1,0
1,Streptococcus infantarius,bacteria,100,26.594949252468464,1,104.442,60.08488534816949,4,0
1,Streptococcus pyogenes,bacteria,100,19.3716297024153,1,88.4783,177.2996616831231,4,1
1,Streptococcus sp. 116-D4,bacteria,100,18.05829887513291,1,159.927,13.133308272823934,1,0
1,Anaerostipes hadrus,bacteria,100,23609.091616641945,2582,405.109,17778.88774162858,2115,0
