Campylobacter jejuni
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Enterococcus faecalis
Enterococcus faecium
Escherichia coli
Finegoldia magna
Klebsiella pneumoniae
Prevotella intermedia
Prevotella melaninogenica
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Streptococcus anginosus
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus suis
